word,pinyin,meaning
合适,héshì,適している・ちょうど良い・ふさわしい
黑板,hēibǎn,黒板
红绿灯,hónglùdēng,信号機
后来,hòulái,その後・その後で（過去のことのみ）
后年,hòunián,再来年
后天,hòutiān,明後日
护照,hùzhào,パスポート
花园,huāyuán,庭・庭園
画家,huàjiā,画家
欢迎,huānyíng,歓迎する
还,huán,返す
环境,huánjìng,環境・周りの状況
换,huàn,換える・両替する・乗り換える
黄色,huángsè,黄色
回答,huídá,回答する・答える・返事
会,huì,会議・集まり・〜できる
会议,huìyì,会議
或,huò,あるいは・または
或者,huòzhě,または・あるいは（主に肯定文）
鸡,jī,鶏
几乎,jīhū,ほとんど・ほぼ
机会,jīhuì,機会・チャンス
极,jí,極めて・非常に・〜の極み
急,jí,急ぐ・焦る・イライラする
记,jì,記録する・覚える・記憶する
季,jì,季節・シーズン
季节,jìjié,季節
加,jiā,加える・プラスする
假期,jiàqī,休暇・休み期間
坚持,jiānchí,堅持する・やり抜く・頑張る
检查,jiǎnchá,検査する・点検する・診察する
简单,jiǎndān,簡単な・単純な
检票,jiǎnpiào,改札をする・切符を切る
健康,jiànkāng,健康だ・健康
见面,jiànmiàn,会う・面会する
讲,jiǎng,話す・説明する・講義する
角,jiǎo,角（通貨単位、1元の10分の1、口語では毛）
脚,jiǎo,足（手首・足首から先）
接,jiē,受け取る・迎える・（電話に）出る・つなぐ
街,jiē,通り・街頭・街
节,jié,節（授業のコマ数などを数える量詞）・祭り・フェスティバル
结婚,jiéhūn,結婚する
节目,jiémù,番組・プログラム・出し物
节日,jiérì,祝日・祭り
结束,jiéshú,終わる・終了する
解决,jiějué,解決する・処理する
姐妹,jiěmèi,姉妹
借,jiè,借りる・貸す
斤,jīn,斤（中国の重さの単位、500g）
经过,jīngguò,〜を経て・通過する・プロセス・経過
经理,jīnglǐ,マネージャー・支配人・社長
久,jiǔ,（時間が）長い
酒,jiǔ,酒・アルコール
旧,jiù,古い（物の状態が古い）
句,jù,文・言葉（文や言葉を数える量詞）
句子,jùzi,文章・センテンス
决定,juédìng,決定する・決める・決定
卡,kǎ,カード
开花,kāihuā,花が咲く
开会,kāihui,会議を開く・会議に出席する
开机,kāijī,（スマホ等の電源を）入れる・起動する
开心,kāixīn,楽しい・ハッピーな・愉快な
看来,kànlái,見たところ〜のようだ・どうやら〜らしい
可,kě,〜だが（しかし）・実になど（強調）
渴,kě,喉が渇いた
可爱,kě'ài,可愛い
可是,kěshì,しかし・だが
刻,kè,15分・刻む
课本,kèběn,教科書・テキスト
客人,kèrén,お客さん・ゲスト
课文,kèwén,教科書の本文
空调,kōngtiáo,エアコン
哭,kū,泣く
筷子,kuàizi,箸
矿泉水,kuàngquánshuǐ,ミネラルウォーター
来自,láizì,〜から来る・〜出身である
蓝,lán,青・ブルー
老,lǎo,古い・老いた・経験豊かな・いつも
老人,lǎorén,お年寄り・老人
离开,líkāi,離れる・出発する・去る
礼物,lǐwù,プレゼント・贈り物
历史,lìshǐ,歴史
脸,liǎn,顔
练,liàn,練習する・鍛える
练习,liànxí,練習する・練習問題・エクササイズ
凉快,liángkuai,涼しい・心地よく冷たい
辆,liàng,台（車などの乗り物を数える量詞）
聊,liáo,おしゃべりする
聊天儿,liáotiānr,おしゃべりする
了解,liǎojiě,理解する・詳しく知る・調べる
邻居,línjū,隣人・近所の人
留学,liúxué,留学する
留学生,liúxuéshēng,留学生
楼梯,lóutī,階段
路边,lùbiān,路頭・道端
路口,lùkǒu,交差点・曲がり角
马,mǎ,馬
马路,mǎlù,道路・大通り
马上,mǎshàng,すぐに・ただちに
满意,mǎnyì,満足する・気に入る
毛,máo,角（通貨単位、1元の10分の1）
米,mǐ,米・メートル
面前,miànqián,目の前・面前
明白,míngbai,明確だ・わかる・理解する
名单,míngdān,名簿・リスト
名人,míngrén,有名人・セレブリティ
南,nán,南
难,nán,難しい・〜しにくい
南方,nánfāng,南方・中国の南部
难过,nánguò,悲しい・つらい・過ごしにくい
难看,nánkàn,見苦しい・醜い・みっともない
男人,nánrén,男性・男の人
男生,nánshēng,男子生徒・男子
难题,nántí,難問
难听,nántīng,聞き苦しい・嫌な響きの・（言葉が）きつい
年级,niánjí,学年
年轻,niánqīng,若い
牛,niú,牛・すごい（スラング的表現）
努力,nǔlì,努力する・一生懸命やる
女人,nǚrén,女性・女の人
女生,nǚshēng,女子生徒・女子
爬,pá,登る・這う
怕,pà,恐れる・怖がる・たぶん〜だろう
拍照,pāizhào,写真を撮る
盘子,pánzi,お皿・プレート
胖,pàng,太っている
啤酒,píjiǔ,ビール
平时,píngshí,普段・平素
瓶子,píngzi,瓶・ボトル
骑,qí,（自転車・バイク・馬に）乗る
奇怪,qíguài,奇妙だ・おかしい・不思議に思う
其实,qíshí,実は・実際は
其他,qítā,その他・ほかの
起,qǐ,起きる・立ち上がる・（事件などを数える量詞）
起飞,qǐfēi,（飛行機が）離陸する
汽车,qìchē,自動車・車
铅笔,qiānbǐ,鉛筆
前年,qiánnián,一昨年
前天,qiántian,一昨日
清楚,qīngchu,はっきりしている・明瞭だ・よくわかる
请假,qǐngjià,休暇を申請する・休みをとる
请客,qǐngkè,おごる・ごちそうする・客を招く
秋天,qiūtiān,秋
球场,qiúchǎng,球技場・グラウンド・コート
裙子,qúnzi,スカート
然后,ránhòu,それから・その後
热情,rèqíng,熱心だ / 親切だ・情熱
认得,rènde,見覚えがある・知っている
认为,rènwéi,〜と思う・〜と考える
认真,rènzhēn,真面目だ・真剣だ
容易,róngyì,簡単だ・〜しやすい
如果,rúguǒ,もし〜なら
伞,sǎn,傘
扫,sǎo,掃く・掃除する
沙发,shāfā,ソファ
山,shān,山
上衣,shàngyī,上着・ジャケット
勺子,sháozi,スプーン・さじ
身边,shēnbiān,身の回り・そば・身近
身高,shēngāo,身長
声,shēng,声・音・（声を数える量詞）
生活,shēnghuó,生活する・生活・暮らし
生气,shēngqì,怒る・腹を立てる
声音,shēngyīn,声・音
市,shì,市・都市・市場
试,shì,試す・やってみる・試験
室,shì,部屋・室
世界,shìjiè,世界
收,shōu,受け取る・収める・片付ける
收到,shōudào,受け取った
受,shòu,受ける・耐える・〜される
瘦,shòu,痩せている
受到,shòudào,受ける（影響や歓迎、表彰などを）
叔叔,shūshu,おじさん・（父親より若い男性への尊称）
树,shù,木・樹木
数学,shùxué,数学
刷,shuā,磨く・（カードを）スワイプする・読み取らせる
双,shuāng,双・ペア（靴や箸など2つペアのものを数える量詞）
水平,shuǐpíng,水準・レベル
司机,sījī,運転手・ドライバー
四季,sìjì,四季
太阳,tàiyáng,太陽
糖,táng,砂糖・飴・キャンディ
特别,tèbié,特別だ・特に・とりわけ
提高,tígāo,高める・向上させる・アップする
体育,tīyù,体育・スポーツ
体育馆,tīyùguǎn,体育館・ジム・アリーナ
甜,tián,甘い
跳,tiào,跳ぶ・ジャンプする・踊る
听说,tīngshuō,〜だそうだ・また聞きする
挺,tǐng,とても・かなり・真っ直ぐにする
同事,tóngshì,同僚・会社の同僚
同意,tóngyì,同意する・賛成する
头发,tóufa,髪の毛
突然,tūrán,突然だ・急に
图书馆,túshūguǎn,図書館
腿,tuǐ,足・脚
外地,wàidì,地方・よその土地
外卖,wàimài,出前・テイクアウト・デリバリー
外语,wàiyǔ,外国語
完成,wánchéng,完成する・達成する・やり遂げる
碗,wǎn,お椀・茶碗・（茶碗を数える量詞）
晚点,wǎndiǎn,（電車や飛行機が）遅れる・遅延する
晚会,wǎnhuì,夕方のパーティー・晩餐会
网球,wǎngqiú,テニス
网站,wǎngzhàn,ウェブサイト
忘记,wàngjì,忘れる
为,wèi,〜のために・〜の理由で
为了,wèile,〜のために（目的を強調）
卫生间,wèishēngjiān,トイレ・洗面所
文化,wénhuà,文化
屋子,wūzi,部屋・家
西,xī,西
西北,xīběi,西北・中国西北地方
西方,xīfāng,西洋・西方
西瓜,xīguā,スイカ
西南,xīnán,西南
习惯,xíguàn,習慣・慣れる
喜爱,xǐ'ài,好む・大好きだ・愛好する
洗衣机,xǐyījī,洗濯機
洗澡,xǐzǎo,入浴する・シャワーを浴びる
夏天,xiàtiān,夏
先,xiān,先に・まず
香蕉,xiāngjiāo,バナナ
相信,xiāngxìn,信じる・信用する
箱子,xiāngzi,箱・スーツケース
向,xiàng,〜に向かって・〜のほうへ
像,xiàng,〜に似ている・〜のようだ・写真・像
相机,xiàngjī,カメラ
小区,xiǎoqū,（マンションなどの）居住区・住宅団地
小心,xiǎoxīn,注意する・気をつける
校园,xiàoyuán,キャンパス・校庭
校长,xiàozhǎng,校長・学長
鞋,xié,靴
心里,xīnli,心の中・胸の内
新年,xīnnián,新年
新闻,xīnwén,ニュース
新鲜,xīnxiān,新鮮だ・（出来事が）斬新だ
信,xìn,手紙・信じる・信用
信用卡,xìnyòngkǎ,クレジットカード
行,xíng,行く・歩く・いいですよ（承諾）・OKだ
行李,xíngli,荷物・ラゲージ
兴趣,xìngqù,興味・関心
休假,xiūjià,休暇をとる・会社を休む
需要,xūyào,必要とする・必要
选,xuǎn,選ぶ・選択する
选择,xuǎnzé,選択する・選ぶ・選択肢
学期,xuéqī,学期
牙,yá,歯
牙刷,yáshuā,歯ブラシ
羊,yáng,羊
养,yǎng,育てる・飼う・養う
要求,yāoqiú,要求する・要請・条件
页,yè,ページ（ページ数を数える量詞）
一定,yídìng,必ず・きっと・一定の
一共,yígòng,合計で・合わせて
一块儿,yíkuàir,一緒に・同じ場所で（口語）
一样,yíyàng,同じだ・同様だ
以后,yǐhòu,以後・その後・これから
以前,yǐqián,以前・前・これまで
以上,yǐshàng,以上
以外,yǐwài,以外・〜のほかに
以为,yǐwéi,〜だと思い込む（事実とは違っていたとき）
以下,yǐxià,以下
一般,yìbān,一般的だ・普通だ・並みだ
一边,yìbiān,〜しながら（同時進行）
一直,yìzhí,ずっと・真っ直ぐに
音乐,yīnyuè,音楽
银行,yínháng,銀行
银行卡,yínhángkǎ,キャッシュカード・ATMカード
饮料,yǐnliào,飲み物・ドリンク
应该,yīnggāi,〜すべきだ・〜のはずだ
影响,yǐngxiǎng,影響する・影響・効果
用,yòng,使う・もちいる
邮件,yóujiàn,郵便物・メール
游客,yóukè,観光客・旅行者
游戏,yóuxì,ゲーム・遊び・遊ぶ
邮箱,yóuxiāng,ポスト・メールボックス・メールアドレス
有关,yǒuguān,〜に関係のある・関連する
有名,yǒumíng,有名な
有用,yǒuyòng,役に立つ・有用だ
又,yòu,また・その上（過去の繰り返し、または複数を並べる）
羽毛球,yǔmáoqiú,バドミントン
语言,yǔyán,言語・言葉
雨衣,yǔyī,レインコート
遇到,yùdào,（偶然に問題や人に）出遭う・遭遇する
遇见,yùjiàn,（人と）出会う
园,yuán,庭園・公園・園
员,yuán,係員・メンバー・店員など
愿意,yuànyì,〜したいと思う・喜んで〜する
越,yuè,ますます・（制限を）越える
月亮,yuèliang,月
运动会,yùndònghuì,運動会・スポーツ大会
运动员,yùndòngyuán,アスリート・選手
咱们,zánmen,私たち（話し相手を必ず含む）
脏,zāng,汚い・汚れた
怎么办,zěnmebàn,どうしよう・どうするか
怎样,zěnyàng,どのように・どんな
站,zhàn,立つ・駅・バス停
张,zhāng,枚（紙や机など平たいものを数える量詞）・広げる
长,zhǎng,リーダー・成長する・伸びる
着急,zháojí,焦る・心配する・気が気でない
照,zhào,照らす・写真をとる・〜に向かって
照顾,zhàogù,世話をする・面倒をみる・配慮する
照片,zhàopiàn,写真
照相,zhàoxiàng,写真を撮る
直到,zhídào,〜に至るまで・〜までずっと
只,zhǐ,ただ〜だけ（副詞）
纸,zhǐ,紙
只能,zhǐnéng,〜するしかない・〜しかできない
只是,zhǐshì,ただ〜だけ・ただし（接続詞）
只要,zhīyào,〜しさえすれば
只有,zhǐyǒu,〜してこそ・〜しか〜ない
中,zhōng,中・うち・中国
中间,zhōngjiān,真ん中・中間・あいだ
终于,zhōngyú,ついに・とうとう・やっと（待ち望んだ結果）
种,zhǒng,種類（種類や品目を数える量詞）
重要,zhòngyào,重要な・大切な
周末,zhōumò,週末
主要,zhǔyào,主要な・メインの・主な
注意,zhùyì,注意する・気をつける
住院,zhùyuàn,入院する
字典,zìdiǎn,字典・漢字引
自行车,zìxíngchē,自転車
子,zi,（名詞の接尾辞）
总,zǒng,いつも・総括する・社長・メインの
总是,zǒngshì,いつも・常に
嘴,zuǐ,口・くちばし
最好,zuìhǎo,一番良い・〜するのがベストだ
最后,zuìhòu,最後・ついに・最終的に
最近,zuìjìn,最近・近頃
做客,zuòkè,客となる・訪問する・お呼ばれする
作业,zuòyè,宿題・課題・ワーク
